GameID,RentalDate,ReturnDate,RentalCustomerID
MON01,2025-11-15,2025-11-29,abcd
BLK02,2024-07-09,2024-07-23,lbro
MOO03,2024-01-07,2024-01-21,toki
TTB04,2025-09-01,2025-09-15,rpkd
YAH05,2024-12-19,2025-01-02,nori
PFN06,2023-04-14,2023-04-28,lans
MIT07,2024-01-11,2024-01-25,qxtb
HUC08,2025-11-08,2025-11-22,ivor
YCU09,2024-05-11,2024-05-25,pyro
TRP10,2025-10-03,2025-10-17,brix
CLU11,2025-07-07,2025-07-21,slyn
SHI12,2025-08-30,2025-09-13,fjra
MON01,2025-09-09,2025-09-23,rhea
BLK02,2025-08-01,2025-08-15,elio
MOO03,2025-05-13,2025-05-27,yori
TTB04,2025-11-16,2025-11-30,torm
YAH05,2025-10-27,2025-11-10,xara
PFN06,2025-06-28,2025-07-12,lira
MIT07,2024-09-25,2024-10-09,paxu
HUC08,2025-10-14,2025-10-28,juno
YCU09,2025-12-12,2025-12-26,wqop
TRP10,2025-06-10,2025-06-24,mnav
CLU11,2025-12-04,2025-12-18,cyra
MON01,2024-03-12,2024-03-26,faye
SHI12,2025-05-27,2025-06-10,kelt
BLK02,2025-06-30,2025-07-14,quix
MOO03,2024-01-07,2024-01-21,thxe
TTB04,2025-06-15,2025-06-29,dora
YAH05,2023-04-14,2023-04-28,mira
PFN06,2025-08-18,2025-09-01,zeno
MIT07,2025-04-21,2025-05-05,kira
HUC08,2025-06-30,2025-07-14,voge
YCU09,2025-02-06,2025-02-20,brio
TRP10,2023-02-20,2023-03-06,wynd
CLU11,2024-07-09,2024-07-23,xira
SHI12,2025-09-01,2025-09-15,rpkd
MON01,2025-07-16,2025-07-30,ulna
BLK02,2025-09-23,2025-10-07,gaga
MOO03,2025-10-14,2025-10-28,jouz
TTB04,2024-03-12,2024-03-26,faye
YAH05,2025-06-12,2025-06-26,xord
PFN06,2024-06-16,2024-06-30,lurn
HUC08,2025-04-05,2025-04-19,gyro
YCU09,2024-11-25,2024-12-09,moon
TRP10,2025-01-21,2025-02-04,ramo
LOL02,2025-06-14,2025-06-28,abcd
MK110,2024-07-09,2024-07-23,lbro
FOR05,2024-01-07,2024-01-21,toki
SSU06,2025-09-01,2025-09-15,rpkd
