CustomerID,SubscriptionType,StartDate,EndDate
abcd,Basic,2021-11-15,2026-01-01
lbro,Premium,2022-07-09,2026-07-09
toki,Basic,2022-01-07,2025-01-07
rpkd,Basic,2019-09-01,2022-09-01
nori,Basic,2021-12-19,2024-12-19
lans,Premium,2023-04-14,2027-04-14
qxtb,Basic,2019-01-11,2022-01-11
ivor,Premium,2021-11-08,2025-11-08
pyro,Basic,2022-05-11,2025-05-11
brix,Premium,2021-10-03,2025-10-03
slyn,Basic,2020-07-07,2023-07-07
fjra,Basic,2021-08-30,2023-08-30
rhea,Basic,2021-09-09,2024-09-09
elio,Premium,2021-08-01,2025-08-01
yori,Premium,2021-05-13,2025-05-13
torm,Premium,2019-11-16,2024-11-16
xara,Basic,2019-10-27,2022-10-27
lira,Basic,2021-06-28,2024-06-28
paxu,Premium,2022-09-25,2026-09-25
juno,Basic,2020-10-14,2023-10-14
wqop,Premium,2020-12-12,2024-12-12
mnav,Premium,2021-06-10,2025-06-10
cyra,Premium,2019-12-04,2024-12-04
faye,Basic,2022-03-12,2025-03-12
kelt,Basic,2020-05-27,2023-05-27
quix,Premium,2019-06-30,2023-06-30
thxe,Basic,2022-01-07,2025-01-07
dora,Basic,2020-06-15,2023-06-15
mira,Premium,2023-04-14,2027-04-14
zeno,Basic,2020-08-18,2023-08-18
kira,Premium,2021-04-21,2025-04-21
voge,Premium,2019-06-30,2023-06-30
brio,Basic,2021-02-06,2024-02-06
wynd,Premium,2023-02-20,2028-02-20
xira,Premium,2022-07-09,2026-07-09
ulna,Premium,2021-07-16,2025-07-16
gaga,Premium,2020-09-23,2024-09-23
jouz,Basic,2020-10-14,2023-10-14
xord,Premium,2021-06-12,2025-06-12
lurn,Basic,2022-06-16,2025-06-16
gyro,Basic,2021-04-05,2024-04-05
moon,Premium,2022-11-25,2026-11-25
ramo,Basic,2021-01-21,2024-01-21
